"","dates","sp_all","abundance_cold"
"100","2010","Anas strepera",24
"101","2011","Anas strepera",8
"102","2012","Anas strepera",15
"103","2013","Anas strepera",2
"104","2014","Anas strepera",1
"105","2015","Anas strepera",1.25
"106","1981","Anas penelope",4
"107","1982","Anas penelope",1
"108","1983","Anas penelope",2
"109","1984","Anas penelope",1.25
"110","1985","Anas penelope",2.75
"111","1986","Anas penelope",1.75
"112","1987","Anas penelope",2.25
"113","1988","Anas penelope",4.25
"114","1989","Anas penelope",2
"115","1990","Anas penelope",3.75
"116","1991","Anas penelope",1.75
"117","1992","Anas penelope",2.5
"118","1993","Anas penelope",0.75
"119","1994","Anas penelope",1.5
"120","1995","Anas penelope",3.5
"121","1996","Anas penelope",0
"122","1997","Anas penelope",0.25
"123","1998","Anas penelope",0.5
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",1
"127","2002","Anas penelope",1
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0.75
"132","2007","Anas penelope",3.75
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0.75
"135","2010","Anas penelope",0.5
"136","2011","Anas penelope",1.25
"137","2012","Anas penelope",1
"138","2013","Anas penelope",1.25
"139","2014","Anas penelope",0.25
"140","2015","Anas penelope",1.25
"141","1981","Anas clypeata",61.75
"142","1982","Anas clypeata",36
"143","1983","Anas clypeata",51
"144","1984","Anas clypeata",15.75
"145","1985","Anas clypeata",89.75
"146","1986","Anas clypeata",41
"147","1987","Anas clypeata",27.5
"148","1988","Anas clypeata",88.75
"149","1989","Anas clypeata",59.5
"150","1990","Anas clypeata",106.25
"151","1991","Anas clypeata",280
"152","1992","Anas clypeata",242.5
"153","1993","Anas clypeata",223
"154","1994","Anas clypeata",201
"155","1995","Anas clypeata",198.75
"156","1996","Anas clypeata",132.5
"157","1997","Anas clypeata",103.25
"158","1998","Anas clypeata",86.25
"159","1999","Anas clypeata",99.25
"160","2000","Anas clypeata",69.5
"161","2001","Anas clypeata",140.5
"162","2002","Anas clypeata",58.5
"163","2003","Anas clypeata",49
"164","2004","Anas clypeata",87
"165","2005","Anas clypeata",121.5
"166","2006","Anas clypeata",40
"167","2007","Anas clypeata",203.25
"168","2008","Anas clypeata",149.5
"169","2009","Anas clypeata",155.75
"170","2010","Anas clypeata",233
"171","2011","Anas clypeata",229.5
"172","2012","Anas clypeata",275.5
"173","2013","Anas clypeata",182.75
"174","2014","Anas clypeata",174.5
"175","2015","Anas clypeata",341.75
"176","1981","Anas crecca",950
"177","1982","Anas crecca",695
"178","1983","Anas crecca",860
"179","1984","Anas crecca",390
"180","1985","Anas crecca",777.5
"181","1986","Anas crecca",307.5
"182","1987","Anas crecca",271.25
"183","1988","Anas crecca",652.5
"184","1989","Anas crecca",825
"185","1990","Anas crecca",867.5
"186","1991","Anas crecca",870
"187","1992","Anas crecca",622.5
"188","1993","Anas crecca",645
"189","1994","Anas crecca",640
"190","1995","Anas crecca",640
"191","1996","Anas crecca",497.5
"192","1997","Anas crecca",465
"193","1998","Anas crecca",720
"194","1999","Anas crecca",682.5
"195","2000","Anas crecca",511.25
"196","2001","Anas crecca",572.5
"197","2002","Anas crecca",590
"198","2003","Anas crecca",527.5
"199","2004","Anas crecca",458.75
"200","2005","Anas crecca",338.25
"201","2006","Anas crecca",233.25
"202","2007","Anas crecca",403
"203","2008","Anas crecca",450.75
"204","2009","Anas crecca",562.75
"205","2010","Anas crecca",477.5
"206","2011","Anas crecca",367
"207","2012","Anas crecca",448.75
"208","2013","Anas crecca",454.25
"209","2014","Anas crecca",394.5
"210","2015","Anas crecca",411.75
"211","1981","Aythya ferina",420
"212","1982","Aythya ferina",217
"213","1983","Aythya ferina",275.5
"214","1984","Aythya ferina",117.5
"215","1985","Aythya ferina",497.5
"216","1986","Aythya ferina",273.5
"217","1987","Aythya ferina",98.75
"218","1988","Aythya ferina",182.5
"219","1989","Aythya ferina",202.5
"220","1990","Aythya ferina",126.25
"221","1991","Aythya ferina",113.75
"222","1992","Aythya ferina",98
"223","1993","Aythya ferina",78.75
"224","1994","Aythya ferina",57.25
"225","1995","Aythya ferina",40.5
"226","1996","Aythya ferina",14.5
"227","1997","Aythya ferina",32.5
"228","1998","Aythya ferina",6
"229","1999","Aythya ferina",6
"230","2000","Aythya ferina",17.75
"231","2001","Aythya ferina",56.5
"232","2002","Aythya ferina",11
"233","2003","Aythya ferina",17.25
"234","2004","Aythya ferina",19.5
"235","2005","Aythya ferina",27.25
"236","2006","Aythya ferina",36.25
"237","2007","Aythya ferina",22.75
"238","2008","Aythya ferina",7.75
"239","2009","Aythya ferina",2
"240","2010","Aythya ferina",0.75
"241","2011","Aythya ferina",6.25
"242","2012","Aythya ferina",1.25
"243","2013","Aythya ferina",0.25
"244","2014","Aythya ferina",0.25
"245","2015","Aythya ferina",0.5
"246","1981","Aythya fuligula",103.75
"247","1982","Aythya fuligula",106.75
"248","1983","Aythya fuligula",81.75
"249","1984","Aythya fuligula",108.75
"250","1985","Aythya fuligula",122.5
"251","1986","Aythya fuligula",131.5
"252","1987","Aythya fuligula",75.25
"253","1988","Aythya fuligula",116.25
"254","1989","Aythya fuligula",105
"255","1990","Aythya fuligula",68
"256","1991","Aythya fuligula",80
"257","1992","Aythya fuligula",86.25
"258","1993","Aythya fuligula",88.5
"259","1994","Aythya fuligula",58.75
"260","1995","Aythya fuligula",29.25
"261","1996","Aythya fuligula",54
"262","1997","Aythya fuligula",31.5
"263","1998","Aythya fuligula",40
"264","1999","Aythya fuligula",28
"265","2000","Aythya fuligula",17
"266","2001","Aythya fuligula",27.5
"267","2002","Aythya fuligula",13.75
"268","2003","Aythya fuligula",8.25
"269","2004","Aythya fuligula",13.75
"270","2005","Aythya fuligula",10.5
"271","2006","Aythya fuligula",0.25
"272","2007","Aythya fuligula",0.5
"273","2008","Aythya fuligula",1
"274","2009","Aythya fuligula",0.5
"275","2010","Aythya fuligula",0
"276","2011","Aythya fuligula",3.5
"277","2012","Aythya fuligula",0.25
"278","2013","Aythya fuligula",2.75
"279","2014","Aythya fuligula",1
"280","2015","Aythya fuligula",0.75
"281","1981","Aythya marila",0.25
"282","1982","Aythya marila",0.5
"283","1983","Aythya marila",0.25
"284","1984","Aythya marila",0.25
"285","1985","Aythya marila",2.5
"286","1986","Aythya marila",0.5
"287","1987","Aythya marila",0
"288","1988","Aythya marila",1.25
"289","1989","Aythya marila",0
"290","1990","Aythya marila",0.25
"291","1991","Aythya marila",0
"292","1992","Aythya marila",0
"293","1993","Aythya marila",2
"294","1994","Aythya marila",0
"295","1995","Aythya marila",0
"296","1996","Aythya marila",0
"297","1997","Aythya marila",0
"298","1998","Aythya marila",0
"299","1999","Aythya marila",0
"300","2000","Aythya marila",0
"301","2001","Aythya marila",0
"302","2002","Aythya marila",0
"303","2003","Aythya marila",0
"304","2004","Aythya marila",0
"305","2005","Aythya marila",0
"306","2006","Aythya marila",0
"307","2007","Aythya marila",0.25
"308","2008","Aythya marila",0
"309","2009","Aythya marila",0
"310","2010","Aythya marila",0
"311","2011","Aythya marila",0
"312","2012","Aythya marila",0
"313","2013","Aythya marila",0
"314","2014","Aythya marila",0
"315","2015","Aythya marila",0
"316","1981","Tadorna tadorna",3
"317","1982","Tadorna tadorna",4.5
"318","1983","Tadorna tadorna",36.5
"319","1984","Tadorna tadorna",52.5
"320","1985","Tadorna tadorna",68.5
"321","1986","Tadorna tadorna",63.5
"322","1987","Tadorna tadorna",33.75
"323","1988","Tadorna tadorna",40
"324","1989","Tadorna tadorna",65.25
"325","1990","Tadorna tadorna",21.5
"326","1991","Tadorna tadorna",18.5
"327","1992","Tadorna tadorna",14.5
"328","1993","Tadorna tadorna",49
"329","1994","Tadorna tadorna",25
"330","1995","Tadorna tadorna",56.5
"331","1996","Tadorna tadorna",24.75
"332","1997","Tadorna tadorna",38.75
"333","1998","Tadorna tadorna",17.5
"334","1999","Tadorna tadorna",33
"335","2000","Tadorna tadorna",43
"336","2001","Tadorna tadorna",47
"337","2002","Tadorna tadorna",49.5
"338","2003","Tadorna tadorna",18.75
"339","2004","Tadorna tadorna",34.75
"340","2005","Tadorna tadorna",27.75
"341","2006","Tadorna tadorna",32.5
"342","2007","Tadorna tadorna",60.5
"343","2008","Tadorna tadorna",78.25
"344","2009","Tadorna tadorna",53.75
"345","2010","Tadorna tadorna",51.25
"346","2011","Tadorna tadorna",70
"347","2012","Tadorna tadorna",90
"348","2013","Tadorna tadorna",158
"349","2014","Tadorna tadorna",127.25
"350","2015","Tadorna tadorna",143.75
"351","1981","Anas querquedula",0
"352","1982","Anas querquedula",0.25
"353","1983","Anas querquedula",0.25
"354","1984","Anas querquedula",0
"355","1985","Anas querquedula",0
"356","1986","Anas querquedula",0
"357","1987","Anas querquedula",0
"358","1988","Anas querquedula",0
"359","1989","Anas querquedula",0
"360","1990","Anas querquedula",0
"361","1991","Anas querquedula",0
"362","1992","Anas querquedula",0
"363","1993","Anas querquedula",0
"364","1994","Anas querquedula",0
"365","1995","Anas querquedula",0
"366","1996","Anas querquedula",0
"367","1997","Anas querquedula",0
"368","1998","Anas querquedula",0
"369","1999","Anas querquedula",0
"370","2000","Anas querquedula",0
"371","2001","Anas querquedula",0
"372","2002","Anas querquedula",0
"373","2003","Anas querquedula",0
"374","2004","Anas querquedula",0
"375","2005","Anas querquedula",0
"376","2006","Anas querquedula",0
"377","2007","Anas querquedula",1.25
"378","2008","Anas querquedula",0
"379","2009","Anas querquedula",0
"380","2010","Anas querquedula",0
"381","2011","Anas querquedula",0
"382","2012","Anas querquedula",0
"383","2013","Anas querquedula",0
"384","2014","Anas querquedula",0
"385","2015","Anas querquedula",0
"386","1981","Cygnus olor",13.75
"387","1982","Cygnus olor",8
"388","1983","Cygnus olor",17.75
"389","1984","Cygnus olor",29.25
"390","1985","Cygnus olor",75.5
"391","1986","Cygnus olor",50.25
"392","1987","Cygnus olor",42.75
"393","1988","Cygnus olor",58
"394","1989","Cygnus olor",52.25
"395","1990","Cygnus olor",58.5
"396","1991","Cygnus olor",67.75
"397","1992","Cygnus olor",37
"398","1993","Cygnus olor",33
"399","1994","Cygnus olor",21.5
"400","1995","Cygnus olor",17.5
"401","1996","Cygnus olor",34
"402","1997","Cygnus olor",25.75
"403","1998","Cygnus olor",26.5
"404","1999","Cygnus olor",21
"405","2000","Cygnus olor",17.25
"406","2001","Cygnus olor",22.5
"407","2002","Cygnus olor",15.75
"408","2003","Cygnus olor",15.25
"409","2004","Cygnus olor",10
"410","2005","Cygnus olor",8.5
"411","2006","Cygnus olor",9
"412","2007","Cygnus olor",13
"413","2008","Cygnus olor",10.75
"414","2009","Cygnus olor",17
"415","2010","Cygnus olor",15
"416","2011","Cygnus olor",7.25
"417","2012","Cygnus olor",19
"418","2013","Cygnus olor",13.25
"419","2014","Cygnus olor",13.25
"420","2015","Cygnus olor",10.25
"421","1981","Anser anser",0
"422","1982","Anser anser",2.5
"423","1983","Anser anser",6.25
"424","1984","Anser anser",14.5
"425","1985","Anser anser",31.75
"426","1986","Anser anser",1.5
"427","1987","Anser anser",0.5
"428","1988","Anser anser",124.75
"429","1989","Anser anser",108
"430","1990","Anser anser",89.75
"431","1991","Anser anser",81
"432","1992","Anser anser",70.75
"433","1993","Anser anser",81.25
"434","1994","Anser anser",83.75
"435","1995","Anser anser",80.5
"436","1996","Anser anser",87.5
"437","1997","Anser anser",81
"438","1998","Anser anser",66.75
"439","1999","Anser anser",53.5
"440","2000","Anser anser",52.25
"441","2001","Anser anser",88.25
"442","2002","Anser anser",91.75
"443","2003","Anser anser",103.5
"444","2004","Anser anser",120.25
"445","2005","Anser anser",54.75
"446","2006","Anser anser",35.25
"447","2007","Anser anser",54
"448","2008","Anser anser",31.5
"449","2009","Anser anser",32
"450","2010","Anser anser",11.25
"451","2011","Anser anser",34.5
"452","2012","Anser anser",69
"453","2013","Anser anser",122.75
"454","2014","Anser anser",37.75
"455","2015","Anser anser",87.25
"456","1981","Netta rufina",1.5
"457","1982","Netta rufina",1.5
"458","1983","Netta rufina",2.5
"459","1984","Netta rufina",3.25
"460","1985","Netta rufina",2
"461","1986","Netta rufina",2.25
"462","1987","Netta rufina",2.25
"463","1988","Netta rufina",2.25
"464","1989","Netta rufina",0
"465","1990","Netta rufina",0.25
"466","1991","Netta rufina",0
"467","1992","Netta rufina",0.75
"468","1993","Netta rufina",2
"469","1994","Netta rufina",2
"470","1995","Netta rufina",0
"471","1996","Netta rufina",0
"472","1997","Netta rufina",0
"473","1998","Netta rufina",0
"474","1999","Netta rufina",0
"475","2000","Netta rufina",0
"476","2001","Netta rufina",0
"477","2002","Netta rufina",0
"478","2003","Netta rufina",0
"479","2004","Netta rufina",0
"480","2005","Netta rufina",0
"481","2006","Netta rufina",0
"482","2007","Netta rufina",0
"483","2008","Netta rufina",0
"484","2009","Netta rufina",0.5
"485","2010","Netta rufina",0
"486","2011","Netta rufina",0
"487","2012","Netta rufina",0
"488","2013","Netta rufina",0
"489","2014","Netta rufina",0
"490","2015","Netta rufina",0
"491","1981","Branta bernicla",0
"492","1982","Branta bernicla",0
"493","1983","Branta bernicla",0
"494","1984","Branta bernicla",0
"495","1985","Branta bernicla",0
"496","1986","Branta bernicla",0
"497","1987","Branta bernicla",0
"498","1988","Branta bernicla",0
"499","1989","Branta bernicla",0
"500","1990","Branta bernicla",0
"501","1991","Branta bernicla",0
"502","1992","Branta bernicla",0
"503","1993","Branta bernicla",0
"504","1994","Branta bernicla",0
"505","1995","Branta bernicla",0
"506","1996","Branta bernicla",0
"507","1997","Branta bernicla",0
"508","1998","Branta bernicla",0
"509","1999","Branta bernicla",0
"510","2000","Branta bernicla",0
"511","2001","Branta bernicla",0
"512","2002","Branta bernicla",0
"513","2003","Branta bernicla",0
"514","2004","Branta bernicla",0
"515","2005","Branta bernicla",0
"516","2006","Branta bernicla",0
"517","2007","Branta bernicla",0
"518","2008","Branta bernicla",0
"519","2009","Branta bernicla",0
"520","2010","Branta bernicla",0.25
"521","2011","Branta bernicla",0
"522","2012","Branta bernicla",1.75
"523","2013","Branta bernicla",0.25
"524","2014","Branta bernicla",0
"525","2015","Branta bernicla",0.5
"526","1981","Branta canadensis",0
"527","1982","Branta canadensis",0
"528","1983","Branta canadensis",0
"529","1984","Branta canadensis",0
"530","1985","Branta canadensis",0
"531","1986","Branta canadensis",0
"532","1987","Branta canadensis",0
"533","1988","Branta canadensis",0
"534","1989","Branta canadensis",0
"535","1990","Branta canadensis",0
"536","1991","Branta canadensis",0
"537","1992","Branta canadensis",0
"538","1993","Branta canadensis",0
"539","1994","Branta canadensis",0
"540","1995","Branta canadensis",0
"541","1996","Branta canadensis",0
"542","1997","Branta canadensis",0
"543","1998","Branta canadensis",0
"544","1999","Branta canadensis",0
"545","2000","Branta canadensis",0
"546","2001","Branta canadensis",0
"547","2002","Branta canadensis",0
"548","2003","Branta canadensis",0
"549","2004","Branta canadensis",0
"550","2005","Branta canadensis",0
"551","2006","Branta canadensis",0.5
"552","2007","Branta canadensis",2
"553","2008","Branta canadensis",0.25
"554","2009","Branta canadensis",0.75
"555","2010","Branta canadensis",0.5
"556","2011","Branta canadensis",1
"557","2012","Branta canadensis",0.25
"558","2013","Branta canadensis",0
"559","2014","Branta canadensis",0
"560","2015","Branta canadensis",0
"561","1981","Fulica atra",482.5
"562","1982","Fulica atra",552.5
"563","1983","Fulica atra",588
"564","1984","Fulica atra",660
"565","1985","Fulica atra",1540
"566","1986","Fulica atra",945
"567","1987","Fulica atra",698
"568","1988","Fulica atra",1237.5
"569","1989","Fulica atra",1022.5
"570","1990","Fulica atra",1521.25
"571","1991","Fulica atra",1530
"572","1992","Fulica atra",1572.5
"573","1993","Fulica atra",1518.75
"574","1994","Fulica atra",670
"575","1995","Fulica atra",877.5
"576","1996","Fulica atra",905
"577","1997","Fulica atra",1117.5
"578","1998","Fulica atra",1365
"579","1999","Fulica atra",1523
"580","2000","Fulica atra",1070
"581","2001","Fulica atra",1893.75
"582","2002","Fulica atra",781.25
"583","2003","Fulica atra",1240
"584","2004","Fulica atra",767.5
"585","2005","Fulica atra",510.5
"586","2006","Fulica atra",523.75
"587","2007","Fulica atra",1413.25
"588","2008","Fulica atra",1186.5
"589","2009","Fulica atra",1399.25
"590","2010","Fulica atra",889.5
"591","2011","Fulica atra",708.25
"592","2012","Fulica atra",607
"593","2013","Fulica atra",616.75
"594","2014","Fulica atra",560.25
"595","2015","Fulica atra",473.75
