"","dates","sp_all","abundance_warm"
"109","1984","Calidris temminckii",0
"110","1985","Calidris temminckii",0
"111","1986","Calidris temminckii",0
"112","1987","Calidris temminckii",0
"113","1988","Calidris temminckii",0
"114","1989","Calidris temminckii",0
"115","1990","Calidris temminckii",0
"116","1991","Calidris temminckii",0
"117","1992","Calidris temminckii",0
"118","1993","Calidris temminckii",0.25
"119","1994","Calidris temminckii",0
"120","1995","Calidris temminckii",0
"121","1996","Calidris temminckii",0
"122","1997","Calidris temminckii",0
"123","1998","Calidris temminckii",0
"124","1999","Calidris temminckii",0
"125","2000","Calidris temminckii",0
"126","2001","Calidris temminckii",0
"127","2002","Calidris temminckii",0
"128","2003","Calidris temminckii",0
"129","2004","Calidris temminckii",0
"130","2005","Calidris temminckii",0
"131","2006","Calidris temminckii",0
"132","2007","Calidris temminckii",0.75
"133","2008","Calidris temminckii",0
"134","2009","Calidris temminckii",0
"135","2010","Calidris temminckii",0.75
"136","2011","Calidris temminckii",0.75
"137","2012","Calidris temminckii",1.5
"138","2013","Calidris temminckii",0.5
"139","2014","Calidris temminckii",0.5
"140","2015","Calidris temminckii",0
"141","1981","Calidris canutus",0
"142","1982","Calidris canutus",0.25
"143","1983","Calidris canutus",37.75
"144","1984","Calidris canutus",89
"145","1985","Calidris canutus",14.25
"146","1986","Calidris canutus",1.5
"147","1987","Calidris canutus",0
"148","1988","Calidris canutus",0.75
"149","1989","Calidris canutus",0
"150","1990","Calidris canutus",0.75
"151","1991","Calidris canutus",0
"152","1992","Calidris canutus",0
"153","1993","Calidris canutus",0
"154","1994","Calidris canutus",3
"155","1995","Calidris canutus",6.75
"156","1996","Calidris canutus",6.25
"157","1997","Calidris canutus",0
"158","1998","Calidris canutus",0
"159","1999","Calidris canutus",3.75
"160","2000","Calidris canutus",0
"161","2001","Calidris canutus",5.5
"162","2002","Calidris canutus",0
"163","2003","Calidris canutus",0
"164","2004","Calidris canutus",0
"165","2005","Calidris canutus",0
"166","2006","Calidris canutus",0
"167","2007","Calidris canutus",35.5
"168","2008","Calidris canutus",16
"169","2009","Calidris canutus",9
"170","2010","Calidris canutus",5.25
"171","2011","Calidris canutus",4.5
"172","2012","Calidris canutus",14.5
"173","2013","Calidris canutus",28.5
"174","2014","Calidris canutus",61.5
"175","2015","Calidris canutus",10.25
"176","1981","Calidris alba",0
"177","1982","Calidris alba",0
"178","1983","Calidris alba",0
"179","1984","Calidris alba",0
"180","1985","Calidris alba",0
"181","1986","Calidris alba",0
"182","1987","Calidris alba",0
"183","1988","Calidris alba",0
"184","1989","Calidris alba",0
"185","1990","Calidris alba",0
"186","1991","Calidris alba",0.75
"187","1992","Calidris alba",0
"188","1993","Calidris alba",0
"189","1994","Calidris alba",0
"190","1995","Calidris alba",0
"191","1996","Calidris alba",0
"192","1997","Calidris alba",0
"193","1998","Calidris alba",0
"194","1999","Calidris alba",0
"195","2000","Calidris alba",0
"196","2001","Calidris alba",0
"197","2002","Calidris alba",0
"198","2003","Calidris alba",0
"199","2004","Calidris alba",0
"200","2005","Calidris alba",0
"201","2006","Calidris alba",0
"202","2007","Calidris alba",0
"203","2008","Calidris alba",0.25
"204","2009","Calidris alba",0.25
"205","2010","Calidris alba",0.25
"206","2011","Calidris alba",0.25
"207","2012","Calidris alba",0.25
"208","2013","Calidris alba",0.75
"209","2014","Calidris alba",0.75
"210","2015","Calidris alba",0
"211","1981","Calidris alpina",231.25
"212","1982","Calidris alpina",89.25
"213","1983","Calidris alpina",253
"214","1984","Calidris alpina",416.25
"215","1985","Calidris alpina",298.25
"216","1986","Calidris alpina",221
"217","1987","Calidris alpina",42.5
"218","1988","Calidris alpina",151
"219","1989","Calidris alpina",104.5
"220","1990","Calidris alpina",171
"221","1991","Calidris alpina",117.5
"222","1992","Calidris alpina",278.25
"223","1993","Calidris alpina",17.5
"224","1994","Calidris alpina",296
"225","1995","Calidris alpina",143.75
"226","1996","Calidris alpina",365
"227","1997","Calidris alpina",52.5
"228","1998","Calidris alpina",10.75
"229","1999","Calidris alpina",130
"230","2000","Calidris alpina",21.5
"231","2001","Calidris alpina",66
"232","2002","Calidris alpina",18.75
"233","2003","Calidris alpina",22.5
"234","2004","Calidris alpina",30.5
"235","2005","Calidris alpina",0
"236","2006","Calidris alpina",5.75
"237","2007","Calidris alpina",381.75
"238","2008","Calidris alpina",409
"239","2009","Calidris alpina",156.25
"240","2010","Calidris alpina",694.75
"241","2011","Calidris alpina",291.75
"242","2012","Calidris alpina",361.75
"243","2013","Calidris alpina",661.5
"244","2014","Calidris alpina",770.75
"245","2015","Calidris alpina",180
"246","1981","Calidris minuta",0.75
"247","1982","Calidris minuta",0.25
"248","1983","Calidris minuta",0.75
"249","1984","Calidris minuta",1.5
"250","1985","Calidris minuta",1.25
"251","1986","Calidris minuta",1
"252","1987","Calidris minuta",0
"253","1988","Calidris minuta",0
"254","1989","Calidris minuta",3.75
"255","1990","Calidris minuta",0.25
"256","1991","Calidris minuta",2.25
"257","1992","Calidris minuta",0
"258","1993","Calidris minuta",4
"259","1994","Calidris minuta",0
"260","1995","Calidris minuta",2
"261","1996","Calidris minuta",0
"262","1997","Calidris minuta",3
"263","1998","Calidris minuta",0
"264","1999","Calidris minuta",3
"265","2000","Calidris minuta",0
"266","2001","Calidris minuta",4.5
"267","2002","Calidris minuta",0
"268","2003","Calidris minuta",0
"269","2004","Calidris minuta",2
"270","2005","Calidris minuta",0
"271","2006","Calidris minuta",0
"272","2007","Calidris minuta",19.5
"273","2008","Calidris minuta",11
"274","2009","Calidris minuta",7
"275","2010","Calidris minuta",14
"276","2011","Calidris minuta",0.25
"277","2012","Calidris minuta",6
"278","2013","Calidris minuta",8.75
"279","2014","Calidris minuta",21.5
"280","2015","Calidris minuta",5.75
"281","1981","Gallinago gallinago",1.25
"282","1982","Gallinago gallinago",0.75
"283","1983","Gallinago gallinago",1.75
"284","1984","Gallinago gallinago",1.25
"285","1985","Gallinago gallinago",1.75
"286","1986","Gallinago gallinago",1
"287","1987","Gallinago gallinago",0.25
"288","1988","Gallinago gallinago",2.75
"289","1989","Gallinago gallinago",0.25
"290","1990","Gallinago gallinago",0
"291","1991","Gallinago gallinago",0
"292","1992","Gallinago gallinago",0
"293","1993","Gallinago gallinago",0
"294","1994","Gallinago gallinago",0
"295","1995","Gallinago gallinago",0
"296","1996","Gallinago gallinago",0
"297","1997","Gallinago gallinago",0
"298","1998","Gallinago gallinago",0
"299","1999","Gallinago gallinago",0
"300","2000","Gallinago gallinago",0
"301","2001","Gallinago gallinago",10.25
"302","2002","Gallinago gallinago",0
"303","2003","Gallinago gallinago",0
"304","2004","Gallinago gallinago",0
"305","2005","Gallinago gallinago",0
"306","2006","Gallinago gallinago",0
"307","2007","Gallinago gallinago",2.25
"308","2008","Gallinago gallinago",0
"309","2009","Gallinago gallinago",0
"310","2010","Gallinago gallinago",0.25
"311","2011","Gallinago gallinago",0
"312","2012","Gallinago gallinago",0.75
"313","2013","Gallinago gallinago",4.5
"314","2014","Gallinago gallinago",1.5
"315","2015","Gallinago gallinago",0.75
"316","1981","Tringa nebularia",0.5
"317","1982","Tringa nebularia",2.25
"318","1983","Tringa nebularia",1
"319","1984","Tringa nebularia",0.75
"320","1985","Tringa nebularia",0.75
"321","1986","Tringa nebularia",1
"322","1987","Tringa nebularia",0.25
"323","1988","Tringa nebularia",0
"324","1989","Tringa nebularia",1.25
"325","1990","Tringa nebularia",1.25
"326","1991","Tringa nebularia",0.75
"327","1992","Tringa nebularia",0
"328","1993","Tringa nebularia",0.5
"329","1994","Tringa nebularia",1
"330","1995","Tringa nebularia",0.25
"331","1996","Tringa nebularia",0.75
"332","1997","Tringa nebularia",0.5
"333","1998","Tringa nebularia",0.25
"334","1999","Tringa nebularia",3.75
"335","2000","Tringa nebularia",1
"336","2001","Tringa nebularia",8
"337","2002","Tringa nebularia",8
"338","2003","Tringa nebularia",1.75
"339","2004","Tringa nebularia",1.5
"340","2005","Tringa nebularia",0
"341","2006","Tringa nebularia",0.25
"342","2007","Tringa nebularia",26
"343","2008","Tringa nebularia",17.5
"344","2009","Tringa nebularia",35.25
"345","2010","Tringa nebularia",27
"346","2011","Tringa nebularia",49.5
"347","2012","Tringa nebularia",39.5
"348","2013","Tringa nebularia",53
"349","2014","Tringa nebularia",37.25
"350","2015","Tringa nebularia",29.25
"351","1981","Tringa erythropus",0
"352","1982","Tringa erythropus",0.25
"353","1983","Tringa erythropus",0
"354","1984","Tringa erythropus",0
"355","1985","Tringa erythropus",0
"356","1986","Tringa erythropus",0
"357","1987","Tringa erythropus",0
"358","1988","Tringa erythropus",0.25
"359","1989","Tringa erythropus",0
"360","1990","Tringa erythropus",2.5
"361","1991","Tringa erythropus",1.25
"362","1992","Tringa erythropus",0
"363","1993","Tringa erythropus",0.5
"364","1994","Tringa erythropus",2.25
"365","1995","Tringa erythropus",1.75
"366","1996","Tringa erythropus",0
"367","1997","Tringa erythropus",2.25
"368","1998","Tringa erythropus",0.75
"369","1999","Tringa erythropus",0.25
"370","2000","Tringa erythropus",0
"371","2001","Tringa erythropus",0.5
"372","2002","Tringa erythropus",0.5
"373","2003","Tringa erythropus",0.25
"374","2004","Tringa erythropus",0.75
"375","2005","Tringa erythropus",0
"376","2006","Tringa erythropus",0.75
"377","2007","Tringa erythropus",13.75
"378","2008","Tringa erythropus",2.5
"379","2009","Tringa erythropus",12
"380","2010","Tringa erythropus",6.25
"381","2011","Tringa erythropus",2
"382","2012","Tringa erythropus",9
"383","2013","Tringa erythropus",11.5
"384","2014","Tringa erythropus",15.75
"385","2015","Tringa erythropus",20.75
"386","1981","Tringa ochropus",0.5
"387","1982","Tringa ochropus",0
"388","1983","Tringa ochropus",0
"389","1984","Tringa ochropus",0.25
"390","1985","Tringa ochropus",0.5
"391","1986","Tringa ochropus",0
"392","1987","Tringa ochropus",2.75
"393","1988","Tringa ochropus",0.5
"394","1989","Tringa ochropus",0.25
"395","1990","Tringa ochropus",0.25
"396","1991","Tringa ochropus",0.75
"397","1992","Tringa ochropus",0
"398","1993","Tringa ochropus",0.75
"399","1994","Tringa ochropus",1.5
"400","1995","Tringa ochropus",0
"401","1996","Tringa ochropus",0.25
"402","1997","Tringa ochropus",0
"403","1998","Tringa ochropus",0.75
"404","1999","Tringa ochropus",0.25
"405","2000","Tringa ochropus",0
"406","2001","Tringa ochropus",0.25
"407","2002","Tringa ochropus",0.25
"408","2003","Tringa ochropus",1
"409","2004","Tringa ochropus",0
"410","2005","Tringa ochropus",0.5
"411","2006","Tringa ochropus",0
"412","2007","Tringa ochropus",5.75
"413","2008","Tringa ochropus",2.25
"414","2009","Tringa ochropus",3.5
"415","2010","Tringa ochropus",1.5
"416","2011","Tringa ochropus",1
"417","2012","Tringa ochropus",2.5
"418","2013","Tringa ochropus",5.25
"419","2014","Tringa ochropus",7
"420","2015","Tringa ochropus",1.75
"421","1981","Tringa totanus",5.5
"422","1982","Tringa totanus",12.25
"423","1983","Tringa totanus",14.25
"424","1984","Tringa totanus",51.25
"425","1985","Tringa totanus",56.75
"426","1986","Tringa totanus",4.25
"427","1987","Tringa totanus",1.25
"428","1988","Tringa totanus",14.75
"429","1989","Tringa totanus",12.75
"430","1990","Tringa totanus",13.5
"431","1991","Tringa totanus",2
"432","1992","Tringa totanus",19.25
"433","1993","Tringa totanus",8.25
"434","1994","Tringa totanus",84.75
"435","1995","Tringa totanus",5.5
"436","1996","Tringa totanus",10.75
"437","1997","Tringa totanus",10.25
"438","1998","Tringa totanus",0
"439","1999","Tringa totanus",12.5
"440","2000","Tringa totanus",16.75
"441","2001","Tringa totanus",1.25
"442","2002","Tringa totanus",6.75
"443","2003","Tringa totanus",44
"444","2004","Tringa totanus",8.25
"445","2005","Tringa totanus",0
"446","2006","Tringa totanus",3.25
"447","2007","Tringa totanus",62.75
"448","2008","Tringa totanus",118.5
"449","2009","Tringa totanus",204.25
"450","2010","Tringa totanus",218.75
"451","2011","Tringa totanus",243.25
"452","2012","Tringa totanus",479.5
"453","2013","Tringa totanus",319.5
"454","2014","Tringa totanus",292
"455","2015","Tringa totanus",253.25
"456","1981","Tringa glareola",0.75
"457","1982","Tringa glareola",0
"458","1983","Tringa glareola",0.75
"459","1984","Tringa glareola",2.5
"460","1985","Tringa glareola",1
"461","1986","Tringa glareola",1
"462","1987","Tringa glareola",0
"463","1988","Tringa glareola",5
"464","1989","Tringa glareola",1.5
"465","1990","Tringa glareola",1
"466","1991","Tringa glareola",4.75
"467","1992","Tringa glareola",0.75
"468","1993","Tringa glareola",0.5
"469","1994","Tringa glareola",0.75
"470","1995","Tringa glareola",1.5
"471","1996","Tringa glareola",0.75
"472","1997","Tringa glareola",0
"473","1998","Tringa glareola",0
"474","1999","Tringa glareola",0
"475","2000","Tringa glareola",0
"476","2001","Tringa glareola",2.5
"477","2002","Tringa glareola",0.5
"478","2003","Tringa glareola",3
"479","2004","Tringa glareola",1.75
"480","2005","Tringa glareola",0
"481","2006","Tringa glareola",0
"482","2007","Tringa glareola",1.25
"483","2008","Tringa glareola",1.25
"484","2009","Tringa glareola",0.25
"485","2010","Tringa glareola",0
"486","2011","Tringa glareola",0.5
"487","2012","Tringa glareola",1.25
"488","2013","Tringa glareola",3
"489","2014","Tringa glareola",0.75
"490","2015","Tringa glareola",0
"491","1981","Actitis hypoleucos",2.5
"492","1982","Actitis hypoleucos",0.75
"493","1983","Actitis hypoleucos",8
"494","1984","Actitis hypoleucos",4.75
"495","1985","Actitis hypoleucos",11
"496","1986","Actitis hypoleucos",7
"497","1987","Actitis hypoleucos",5.75
"498","1988","Actitis hypoleucos",4.25
"499","1989","Actitis hypoleucos",8.5
"500","1990","Actitis hypoleucos",1.75
"501","1991","Actitis hypoleucos",0.5
"502","1992","Actitis hypoleucos",9.5
"503","1993","Actitis hypoleucos",3
"504","1994","Actitis hypoleucos",2.5
"505","1995","Actitis hypoleucos",16.25
"506","1996","Actitis hypoleucos",8
"507","1997","Actitis hypoleucos",3.5
"508","1998","Actitis hypoleucos",0
"509","1999","Actitis hypoleucos",0.75
"510","2000","Actitis hypoleucos",0.25
"511","2001","Actitis hypoleucos",4.75
"512","2002","Actitis hypoleucos",10.5
"513","2003","Actitis hypoleucos",0.25
"514","2004","Actitis hypoleucos",13.25
"515","2005","Actitis hypoleucos",1.5
"516","2006","Actitis hypoleucos",0
"517","2007","Actitis hypoleucos",22
"518","2008","Actitis hypoleucos",9.25
"519","2009","Actitis hypoleucos",5.25
"520","2010","Actitis hypoleucos",11.75
"521","2011","Actitis hypoleucos",6
"522","2012","Actitis hypoleucos",13
"523","2013","Actitis hypoleucos",18.75
"524","2014","Actitis hypoleucos",17.25
"525","2015","Actitis hypoleucos",6.25
"526","1981","Philomachus pugnax",0
"527","1982","Philomachus pugnax",0
"528","1983","Philomachus pugnax",0.25
"529","1984","Philomachus pugnax",0
"530","1985","Philomachus pugnax",1.25
"531","1986","Philomachus pugnax",0.5
"532","1987","Philomachus pugnax",0
"533","1988","Philomachus pugnax",0
"534","1989","Philomachus pugnax",0
"535","1990","Philomachus pugnax",0.5
"536","1991","Philomachus pugnax",4.75
"537","1992","Philomachus pugnax",0.5
"538","1993","Philomachus pugnax",0
"539","1994","Philomachus pugnax",1
"540","1995","Philomachus pugnax",0
"541","1996","Philomachus pugnax",0
"542","1997","Philomachus pugnax",0
"543","1998","Philomachus pugnax",0
"544","1999","Philomachus pugnax",0
"545","2000","Philomachus pugnax",0
"546","2001","Philomachus pugnax",0.75
"547","2002","Philomachus pugnax",0.25
"548","2003","Philomachus pugnax",0
"549","2004","Philomachus pugnax",0
"550","2005","Philomachus pugnax",0
"551","2006","Philomachus pugnax",0
"552","2007","Philomachus pugnax",0.5
"553","2008","Philomachus pugnax",0.75
"554","2009","Philomachus pugnax",0.75
"555","2010","Philomachus pugnax",0
"556","2011","Philomachus pugnax",0.25
"557","2012","Philomachus pugnax",1.5
"558","2013","Philomachus pugnax",1.75
"559","2014","Philomachus pugnax",1.75
"560","2015","Philomachus pugnax",0.25
"561","1981","Numenius arquata",0.25
"562","1982","Numenius arquata",0
"563","1983","Numenius arquata",0.25
"564","1984","Numenius arquata",0.25
"565","1985","Numenius arquata",0
"566","1986","Numenius arquata",0
"567","1987","Numenius arquata",0
"568","1988","Numenius arquata",0.25
"569","1989","Numenius arquata",0.25
"570","1990","Numenius arquata",0
"571","1991","Numenius arquata",0
"572","1992","Numenius arquata",0
"573","1993","Numenius arquata",0
"574","1994","Numenius arquata",0
"575","1995","Numenius arquata",1.25
"576","1996","Numenius arquata",0.25
"577","1997","Numenius arquata",0
"578","1998","Numenius arquata",0
"579","1999","Numenius arquata",0
"580","2000","Numenius arquata",0
"581","2001","Numenius arquata",0
"582","2002","Numenius arquata",0
"583","2003","Numenius arquata",0
"584","2004","Numenius arquata",0
"585","2005","Numenius arquata",0
"586","2006","Numenius arquata",0
"587","2007","Numenius arquata",2.25
"588","2008","Numenius arquata",31.75
"589","2009","Numenius arquata",0.5
"590","2010","Numenius arquata",3.75
"591","2011","Numenius arquata",0
"592","2012","Numenius arquata",249.25
"593","2013","Numenius arquata",367.25
"594","2014","Numenius arquata",495.25
"595","2015","Numenius arquata",415
"596","1981","Numenius phaeopus",3.75
"597","1982","Numenius phaeopus",2.75
"598","1983","Numenius phaeopus",3
"599","1984","Numenius phaeopus",2.5
"600","1985","Numenius phaeopus",0
"601","1986","Numenius phaeopus",0.25
"602","1987","Numenius phaeopus",0
"603","1988","Numenius phaeopus",0.5
"604","1989","Numenius phaeopus",1.25
"605","1990","Numenius phaeopus",0.25
"606","1991","Numenius phaeopus",0
"607","1992","Numenius phaeopus",0.25
"608","1993","Numenius phaeopus",0
"609","1994","Numenius phaeopus",0.75
"610","1995","Numenius phaeopus",0
"611","1996","Numenius phaeopus",0
"612","1997","Numenius phaeopus",0
"613","1998","Numenius phaeopus",0
"614","1999","Numenius phaeopus",0
"615","2000","Numenius phaeopus",0
"616","2001","Numenius phaeopus",1
"617","2002","Numenius phaeopus",0
"618","2003","Numenius phaeopus",0
"619","2004","Numenius phaeopus",0.25
"620","2005","Numenius phaeopus",0
"621","2006","Numenius phaeopus",0
"622","2007","Numenius phaeopus",1.75
"623","2008","Numenius phaeopus",3.25
"624","2009","Numenius phaeopus",0.5
"625","2010","Numenius phaeopus",1.25
"626","2011","Numenius phaeopus",1.75
"627","2012","Numenius phaeopus",55
"628","2013","Numenius phaeopus",169.5
"629","2014","Numenius phaeopus",109.25
"630","2015","Numenius phaeopus",143.25
"631","1981","Himantopus himantopus",0
"632","1982","Himantopus himantopus",0
"633","1983","Himantopus himantopus",0
"634","1984","Himantopus himantopus",0
"635","1985","Himantopus himantopus",0
"636","1986","Himantopus himantopus",0.25
"637","1987","Himantopus himantopus",0
"638","1988","Himantopus himantopus",0
"639","1989","Himantopus himantopus",1.75
"640","1990","Himantopus himantopus",2.75
"641","1991","Himantopus himantopus",0.25
"642","1992","Himantopus himantopus",1.75
"643","1993","Himantopus himantopus",0.25
"644","1994","Himantopus himantopus",1
"645","1995","Himantopus himantopus",2.75
"646","1996","Himantopus himantopus",0.5
"647","1997","Himantopus himantopus",0
"648","1998","Himantopus himantopus",0
"649","1999","Himantopus himantopus",1.25
"650","2000","Himantopus himantopus",0
"651","2001","Himantopus himantopus",1.5
"652","2002","Himantopus himantopus",2.5
"653","2003","Himantopus himantopus",0
"654","2004","Himantopus himantopus",0
"655","2005","Himantopus himantopus",0
"656","2006","Himantopus himantopus",0
"657","2007","Himantopus himantopus",7.5
"658","2008","Himantopus himantopus",5
"659","2009","Himantopus himantopus",20
"660","2010","Himantopus himantopus",8.75
"661","2011","Himantopus himantopus",37.5
"662","2012","Himantopus himantopus",62.5
"663","2013","Himantopus himantopus",87.5
"664","2014","Himantopus himantopus",61
"665","2015","Himantopus himantopus",63.25
"666","1981","Charadrius hiaticula",47
"667","1982","Charadrius hiaticula",7.25
"668","1983","Charadrius hiaticula",91.5
"669","1984","Charadrius hiaticula",87
"670","1985","Charadrius hiaticula",12.25
"671","1986","Charadrius hiaticula",20
"672","1987","Charadrius hiaticula",17.75
"673","1988","Charadrius hiaticula",16.25
"674","1989","Charadrius hiaticula",22
"675","1990","Charadrius hiaticula",37
"676","1991","Charadrius hiaticula",59.75
"677","1992","Charadrius hiaticula",19.5
"678","1993","Charadrius hiaticula",5.5
"679","1994","Charadrius hiaticula",19.25
"680","1995","Charadrius hiaticula",27.25
"681","1996","Charadrius hiaticula",25.75
"682","1997","Charadrius hiaticula",8
"683","1998","Charadrius hiaticula",0
"684","1999","Charadrius hiaticula",33.75
"685","2000","Charadrius hiaticula",24
"686","2001","Charadrius hiaticula",15.25
"687","2002","Charadrius hiaticula",20
"688","2003","Charadrius hiaticula",22.5
"689","2004","Charadrius hiaticula",2.75
"690","2005","Charadrius hiaticula",0
"691","2006","Charadrius hiaticula",1.75
"692","2007","Charadrius hiaticula",136.75
"693","2008","Charadrius hiaticula",96.5
"694","2009","Charadrius hiaticula",49.5
"695","2010","Charadrius hiaticula",268.75
"696","2011","Charadrius hiaticula",154
"697","2012","Charadrius hiaticula",143.5
"698","2013","Charadrius hiaticula",93.5
"699","2014","Charadrius hiaticula",238
"700","2015","Charadrius hiaticula",46.25
"701","1981","Charadrius dubius",4
"702","1982","Charadrius dubius",2
"703","1983","Charadrius dubius",4.5
"704","1984","Charadrius dubius",2.25
"705","1985","Charadrius dubius",1
"706","1986","Charadrius dubius",2.25
"707","1987","Charadrius dubius",1
"708","1988","Charadrius dubius",0.75
"709","1989","Charadrius dubius",4
"710","1990","Charadrius dubius",13.25
"711","1991","Charadrius dubius",3.5
"712","1992","Charadrius dubius",9
"713","1993","Charadrius dubius",5.5
"714","1994","Charadrius dubius",1.5
"715","1995","Charadrius dubius",2.75
"716","1996","Charadrius dubius",2.25
"717","1997","Charadrius dubius",0
"718","1998","Charadrius dubius",0.5
"719","1999","Charadrius dubius",0
"720","2000","Charadrius dubius",0.75
"721","2001","Charadrius dubius",2.25
"722","2002","Charadrius dubius",3.5
"723","2003","Charadrius dubius",1
"724","2004","Charadrius dubius",1.5
"725","2005","Charadrius dubius",0
"726","2006","Charadrius dubius",0
"727","2007","Charadrius dubius",4
"728","2008","Charadrius dubius",3.25
"729","2009","Charadrius dubius",2.25
"730","2010","Charadrius dubius",9.25
"731","2011","Charadrius dubius",12.25
"732","2012","Charadrius dubius",22
"733","2013","Charadrius dubius",16.5
"734","2014","Charadrius dubius",10.5
"735","2015","Charadrius dubius",10.75
"736","1981","Pluvialis squatarola",2.25
"737","1982","Pluvialis squatarola",5.5
"738","1983","Pluvialis squatarola",24.75
"739","1984","Pluvialis squatarola",56.25
"740","1985","Pluvialis squatarola",13.25
"741","1986","Pluvialis squatarola",11.25
"742","1987","Pluvialis squatarola",2
"743","1988","Pluvialis squatarola",0
"744","1989","Pluvialis squatarola",1
"745","1990","Pluvialis squatarola",4.5
"746","1991","Pluvialis squatarola",25.5
"747","1992","Pluvialis squatarola",1.25
"748","1993","Pluvialis squatarola",4.75
"749","1994","Pluvialis squatarola",2.5
"750","1995","Pluvialis squatarola",39
"751","1996","Pluvialis squatarola",32.25
"752","1997","Pluvialis squatarola",0
"753","1998","Pluvialis squatarola",0
"754","1999","Pluvialis squatarola",16.25
"755","2000","Pluvialis squatarola",4.5
"756","2001","Pluvialis squatarola",1
"757","2002","Pluvialis squatarola",3
"758","2003","Pluvialis squatarola",1
"759","2004","Pluvialis squatarola",1.75
"760","2005","Pluvialis squatarola",0
"761","2006","Pluvialis squatarola",0
"762","2007","Pluvialis squatarola",5.5
"763","2008","Pluvialis squatarola",45
"764","2009","Pluvialis squatarola",9.5
"765","2010","Pluvialis squatarola",17
"766","2011","Pluvialis squatarola",32.75
